"","ctname","Latitude","Population","date1","date2","date3","date4","date5","date6","date7","date8","date9","date10","date11","date12","date13","date14","date15","date16","date17","date18","date19","date20","date21","date22","date23","date24","date25","date26","date27","date28","date29"
"1","Wenzhou",28,9300000,2,4,6,10,18,32,60,114,172,227,241,265,291,340,364,396,421,438,448,464,474,481,490,496,499,502,503,504,504
"30","Shanghai",31.236305,24237800,2,9,16,20,33,40,53,66,80,101,128,153,177,193,208,233,254,269,281,292,295,302,306,313,318,326,328,331,333
"59","Chongqing",29.570997,31017900,5,9,27,57,75,110,132,147,165,206,237,262,300,337,365,388,411,426,446,468,486,505,518,529,537,544,551,553,555
"88","Arizona-Maricopa",33.346541,4410824,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4,8,9,11,22,34,49,81,139,199,251,299,399,454,545
"117","Arizona-Pima",32.128237,1039073,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,4,5,7,8,12,17,24,42,49,75,102,120,153
"146","Arizona-Pinal",32.91891,447138,0,0,0,0,0,0,2,2,3,3,5,5,5,5,5,5,5,8,10,10,14,16,17,22,23,35,36,41,51
"175","Arkansas-Jefferson",34.277696,68114,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,5,5,5,10,11,19,20,21,22,22,23,23,25,26
"204","California-Alameda",37.648081,1666753,0,0,1,1,1,1,2,2,3,3,4,4,7,7,15,18,27,31,35,45,65,106,122,124,135,178,220,256,270
"233","California-Contra Costa",37.919479,1150215,0,0,0,1,1,3,3,9,9,10,10,10,25,29,29,34,39,41,42,46,51,61,71,86,108,131,151,168,175
"262","California-Fresno",36.761006,994400,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,6,6,6,13,18,19,27,31,31,43
"291","California-Humboldt",40.706673,136373,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,10,12,14,18,18
"320","California-Los Angeles",34.196398,10105518,1,1,1,7,11,13,14,14,20,20,29,29,40,53,69,94,144,190,231,292,351,409,536,662,812,1230,1465,1818,2136
"349","California-Madera",37.210039,157672,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,5,6,7,10,11,11,15
"378","California-Orange",33.675687,3185968,1,1,1,3,3,3,3,3,5,5,6,6,13,14,17,22,29,42,53,65,78,95,125,152,187,256,321,403,431
"407","California-Placer",39.062032,393149,0,1,1,2,2,5,5,5,7,7,7,7,7,8,8,8,8,9,9,9,12,12,20,26,30,30,41,44,53
"436","California-Riverside",33.729828,2450758,0,0,0,0,0,0,0,1,6,8,8,8,8,8,14,15,16,16,22,28,30,45,47,59,105,105,183,195,233
"465","California-Sacramento",38.450011,1540975,2,2,2,2,2,2,2,2,10,10,10,10,17,29,32,33,40,40,45,53,53,53,88,88,113,113,164,164,164
"494","California-San Benito",36.610702,61537,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,5,5,5,5,5,6,6,7,9,12,14,14,14
"523","California-San Diego",33.023604,3343364,2,2,2,2,3,3,3,3,3,3,3,3,8,8,39,53,58,75,89,120,148,194,230,242,293,337,413,484,515
"552","California-San Francisco",37.727239,883305,0,0,0,0,2,2,9,9,15,15,18,18,23,28,37,40,43,51,70,84,84,108,131,152,178,223,279,308,340
"581","California-San Mateo",37.414664,769545,0,1,2,2,2,2,2,2,9,15,15,15,20,32,32,41,64,80,97,110,110,117,142,161,165,195,239,274,277
"610","California-Santa Clara",37.220777,1937570,3,9,11,11,20,20,32,38,43,43,48,48,79,91,114,138,155,175,189,196,263,302,321,375,459,542,574,591,646
"639","California-Santa Cruz",37.012488,274255,0,0,0,0,0,0,0,0,2,2,2,2,7,7,7,9,13,13,14,15,15,15,22,24,25,32,34,39,41
"668","California-Shasta",40.760522,180040,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,4,4
