Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,State,County,month,day
1:53 AM,51 F,39 F,63 %,WNW,21 mph,0 mph,30.01 in,0.0 in,Partly Cloudy / Windy,California,Alameda,3,1
2:53 AM,51 F,37 F,59 %,WNW,14 mph,0 mph,30.02 in,0.0 in,Fair,California,Alameda,3,1
3:53 AM,50 F,37 F,61 %,WNW,8 mph,0 mph,30.00 in,0.0 in,Partly Cloudy,California,Alameda,3,1
4:53 AM,44 F,35 F,71 %,E,5 mph,0 mph,30.00 in,0.0 in,Partly Cloudy,California,Alameda,3,1
5:53 AM,43 F,36 F,76 %,E,5 mph,0 mph,30.00 in,0.0 in,Mostly Cloudy,California,Alameda,3,1
6:53 AM,45 F,37 F,74 %,NNE,5 mph,0 mph,30.00 in,0.0 in,Mostly Cloudy,California,Alameda,3,1
7:53 AM,45 F,37 F,74 %,NE,3 mph,0 mph,30.00 in,0.0 in,Mostly Cloudy,California,Alameda,3,1
8:53 AM,49 F,40 F,71 %,E,3 mph,0 mph,30.00 in,0.0 in,Mostly Cloudy,California,Alameda,3,1
9:53 AM,53 F,41 F,64 %,S,5 mph,0 mph,30.01 in,0.0 in,Cloudy,California,Alameda,3,1
10:53 AM,54 F,40 F,59 %,S,6 mph,0 mph,30.01 in,0.0 in,Mostly Cloudy,California,Alameda,3,1
11:53 AM,54 F,40 F,59 %,SW,6 mph,0 mph,30.01 in,0.0 in,Cloudy,California,Alameda,3,1
12:53 PM,55 F,38 F,53 %,SSW,7 mph,0 mph,30.01 in,0.0 in,Cloudy,California,Alameda,3,1
1:53 PM,61 F,33 F,35 %,NNE,9 mph,0 mph,29.98 in,0.0 in,Cloudy,California,Alameda,3,1
2:53 PM,62 F,31 F,31 %,N,8 mph,18 mph,29.96 in,0.0 in,Cloudy,California,Alameda,3,1
3:53 PM,61 F,29 F,30 %,N,13 mph,20 mph,29.95 in,0.0 in,Cloudy,California,Alameda,3,1
4:53 PM,61 F,32 F,34 %,N,9 mph,20 mph,29.95 in,0.0 in,Mostly Cloudy,California,Alameda,3,1
5:53 PM,62 F,33 F,34 %,NNE,13 mph,0 mph,29.94 in,0.0 in,Partly Cloudy,California,Alameda,3,1
6:53 PM,59 F,30 F,33 %,NNE,12 mph,0 mph,29.94 in,0.0 in,Partly Cloudy,California,Alameda,3,1
7:53 PM,58 F,27 F,31 %,N,10 mph,0 mph,29.96 in,0.0 in,Fair,California,Alameda,3,1
8:53 PM,59 F,22 F,24 %,N,12 mph,25 mph,29.98 in,0.0 in,Fair,California,Alameda,3,1
9:53 PM,59 F,19 F,21 %,N,14 mph,23 mph,29.99 in,0.0 in,Fair,California,Alameda,3,1
10:53 PM,59 F,19 F,21 %,NNE,21 mph,31 mph,30.00 in,0.0 in,Fair / Windy,California,Alameda,3,1
11:53 PM,58 F,19 F,22 %,N,18 mph,28 mph,30.04 in,0.0 in,Fair,California,Alameda,3,1
12:53 AM,59 F,18 F,20 %,N,14 mph,26 mph,30.04 in,0.0 in,Fair,California,Alameda,3,1
12:53 AM,55 F,42 F,62 %,NE,5 mph,0 mph,30.09 in,0.0 in,Partly Cloudy,California,Alameda,3,10
1:53 AM,53 F,41 F,64 %,CALM,0 mph,0 mph,30.08 in,0.0 in,Partly Cloudy,California,Alameda,3,10
2:53 AM,57 F,42 F,57 %,CALM,0 mph,0 mph,30.08 in,0.0 in,Partly Cloudy,California,Alameda,3,10
3:53 AM,57 F,40 F,53 %,ENE,8 mph,0 mph,30.05 in,0.0 in,Fair,California,Alameda,3,10
4:53 AM,56 F,38 F,51 %,CALM,0 mph,0 mph,30.04 in,0.0 in,Fair,California,Alameda,3,10
5:53 AM,57 F,38 F,49 %,ENE,5 mph,0 mph,30.03 in,0.0 in,Fair,California,Alameda,3,10
6:53 AM,55 F,39 F,55 %,ESE,6 mph,0 mph,30.03 in,0.0 in,Partly Cloudy,California,Alameda,3,10
7:53 AM,56 F,38 F,51 %,CALM,0 mph,0 mph,30.02 in,0.0 in,Cloudy,California,Alameda,3,10
8:53 AM,60 F,38 F,44 %,NNE,10 mph,0 mph,30.02 in,0.0 in,Mostly Cloudy,California,Alameda,3,10
9:53 AM,60 F,44 F,55 %,W,6 mph,0 mph,30.02 in,0.0 in,Mostly Cloudy,California,Alameda,3,10
10:53 AM,62 F,44 F,52 %,W,6 mph,0 mph,30.03 in,0.0 in,Partly Cloudy,California,Alameda,3,10
