,ctname,prop.elder,Population,density,Latitude,pergdp,Meantem2020,fulldate,confirmed
1,Wenzhou,0.1298635,9300000,767.96,28,64931.46,10.46296,2020/1/21,2
2,Wenzhou,0.1298635,9300000,767.96,28,64931.46,10.46296,2020/1/22,4
3,Wenzhou,0.1298635,9300000,767.96,28,64931.46,10.46296,2020/1/23,6
4,Wenzhou,0.1298635,9300000,767.96,28,64931.46,10.46296,2020/1/24,10
5,Wenzhou,0.1298635,9300000,767.96,28,64931.46,10.46296,2020/1/25,18
6,Wenzhou,0.1298635,9300000,767.96,28,64931.46,10.46296,2020/1/26,32
7,Wenzhou,0.1298635,9300000,767.96,28,64931.46,10.46296,2020/1/27,60
8,Wenzhou,0.1298635,9300000,767.96,28,64931.46,10.46296,2020/1/28,114
9,Wenzhou,0.1298635,9300000,767.96,28,64931.46,10.46296,2020/1/29,172
10,Wenzhou,0.1298635,9300000,767.96,28,64931.46,10.46296,2020/1/30,227
11,Wenzhou,0.1298635,9300000,767.96,28,64931.46,10.46296,2020/1/31,241
12,Wenzhou,0.1298635,9300000,767.96,28,64931.46,10.46296,2020/2/1,265
13,Wenzhou,0.1298635,9300000,767.96,28,64931.46,10.46296,2020/2/2,291
14,Wenzhou,0.1298635,9300000,767.96,28,64931.46,10.46296,2020/2/3,340
15,Wenzhou,0.1298635,9300000,767.96,28,64931.46,10.46296,2020/2/4,364
16,Wenzhou,0.1298635,9300000,767.96,28,64931.46,10.46296,2020/2/5,396
17,Wenzhou,0.1298635,9300000,767.96,28,64931.46,10.46296,2020/2/6,421
18,Wenzhou,0.1298635,9300000,767.96,28,64931.46,10.46296,2020/2/7,438
19,Wenzhou,0.1298635,9300000,767.96,28,64931.46,10.46296,2020/2/8,448
20,Wenzhou,0.1298635,9300000,767.96,28,64931.46,10.46296,2020/2/9,464
21,Wenzhou,0.1298635,9300000,767.96,28,64931.46,10.46296,2020/2/10,474
22,Wenzhou,0.1298635,9300000,767.96,28,64931.46,10.46296,2020/2/11,481
23,Wenzhou,0.1298635,9300000,767.96,28,64931.46,10.46296,2020/2/12,490
24,Wenzhou,0.1298635,9300000,767.96,28,64931.46,10.46296,2020/2/13,496
25,Wenzhou,0.1298635,9300000,767.96,28,64931.46,10.46296,2020/2/14,499
26,Wenzhou,0.1298635,9300000,767.96,28,64931.46,10.46296,2020/2/15,502
27,Wenzhou,0.1298635,9300000,767.96,28,64931.46,10.46296,2020/2/16,503
28,Wenzhou,0.1298635,9300000,767.96,28,64931.46,10.46296,2020/2/17,504
29,Wenzhou,0.1298635,9300000,767.96,28,64931.46,10.46296,2020/2/18,504
30,Shanghai,0.1495195,24237800,3823,31.236305,135305.25,7.881944,2020/1/20,2
31,Shanghai,0.1495195,24237800,3823,31.236305,135305.25,7.881944,2020/1/21,9
32,Shanghai,0.1495195,24237800,3823,31.236305,135305.25,7.881944,2020/1/22,16
33,Shanghai,0.1495195,24237800,3823,31.236305,135305.25,7.881944,2020/1/23,20
34,Shanghai,0.1495195,24237800,3823,31.236305,135305.25,7.881944,2020/1/24,33
35,Shanghai,0.1495195,24237800,3823,31.236305,135305.25,7.881944,2020/1/25,40
36,Shanghai,0.1495195,24237800,3823,31.236305,135305.25,7.881944,2020/1/26,53
37,Shanghai,0.1495195,24237800,3823,31.236305,135305.25,7.881944,2020/1/27,66
38,Shanghai,0.1495195,24237800,3823,31.236305,135305.25,7.881944,2020/1/28,80
39,Shanghai,0.1495195,24237800,3823,31.236305,135305.25,7.881944,2020/1/29,101
40,Shanghai,0.1495195,24237800,3823,31.236305,135305.25,7.881944,2020/1/30,128
41,Shanghai,0.1495195,24237800,3823,31.236305,135305.25,7.881944,2020/1/31,153
42,Shanghai,0.1495195,24237800,3823,31.236305,135305.25,7.881944,2020/2/1,177
43,Shanghai,0.1495195,24237800,3823,31.236305,135305.25,7.881944,2020/2/2,193
44,Shanghai,0.1495195,24237800,3823,31.236305,135305.25,7.881944,2020/2/3,208
45,Shanghai,0.1495195,24237800,3823,31.236305,135305.25,7.881944,2020/2/4,233
46,Shanghai,0.1495195,24237800,3823,31.236305,135305.25,7.881944,2020/2/5,254
47,Shanghai,0.1495195,24237800,3823,31.236305,135305.25,7.881944,2020/2/6,269
48,Shanghai,0.1495195,24237800,3823,31.236305,135305.25,7.881944,2020/2/7,281
49,Shanghai,0.1495195,24237800,3823,31.236305,135305.25,7.881944,2020/2/8,292
50,Shanghai,0.1495195,24237800,3823,31.236305,135305.25,7.881944,2020/2/9,295
51,Shanghai,0.1495195,24237800,3823,31.236305,135305.25,7.881944,2020/2/10,302
52,Shanghai,0.1495195,24237800,3823,31.236305,135305.25,7.881944,2020/2/11,306
53,Shanghai,0.1495195,24237800,3823,31.236305,135305.25,7.881944,2020/2/12,313
54,Shanghai,0.1495195,24237800,3823,31.236305,135305.25,7.881944,2020/2/13,318
55,Shanghai,0.1495195,24237800,3823,31.236305,135305.25,7.881944,2020/2/14,326
56,Shanghai,0.1495195,24237800,3823,31.236305,135305.25,7.881944,2020/2/15,328
57,Shanghai,0.1495195,24237800,3823,31.236305,135305.25,7.881944,2020/2/16,331
58,Shanghai,0.1495195,24237800,3823,31.236305,135305.25,7.881944,2020/2/17,333
59,Chongqing,0.144712,31017900,376.4217,29.570997,66218.31,9.388889,2020/1/21,5
60,Chongqing,0.144712,31017900,376.4217,29.570997,66218.31,9.388889,2020/1/22,9
61,Chongqing,0.144712,31017900,376.4217,29.570997,66218.31,9.388889,2020/1/23,27
62,Chongqing,0.144712,31017900,376.4217,29.570997,66218.31,9.388889,2020/1/24,57
63,Chongqing,0.144712,31017900,376.4217,29.570997,66218.31,9.388889,2020/1/25,75
64,Chongqing,0.144712,31017900,376.4217,29.570997,66218.31,9.388889,2020/1/26,110
65,Chongqing,0.144712,31017900,376.4217,29.570997,66218.31,9.388889,2020/1/27,132
66,Chongqing,0.144712,31017900,376.4217,29.570997,66218.31,9.388889,2020/1/28,147
67,Chongqing,0.144712,31017900,376.4217,29.570997,66218.31,9.388889,2020/1/29,165
68,Chongqing,0.144712,31017900,376.4217,29.570997,66218.31,9.388889,2020/1/30,206
69,Chongqing,0.144712,31017900,376.4217,29.570997,66218.31,9.388889,2020/1/31,237
70,Chongqing,0.144712,31017900,376.4217,29.570997,66218.31,9.388889,2020/2/1,262
71,Chongqing,0.144712,31017900,376.4217,29.570997,66218.31,9.388889,2020/2/2,300
72,Chongqing,0.144712,31017900,376.4217,29.570997,66218.31,9.388889,2020/2/3,337
73,Chongqing,0.144712,31017900,376.4217,29.570997,66218.31,9.388889,2020/2/4,365
74,Chongqing,0.144712,31017900,376.4217,29.570997,66218.31,9.388889,2020/2/5,388
