,ctname,fulldate,confirmed,Population,density,Latitude,Meantem2020,X65andover
1,Wenzhou,2020/1/21,2,9300000,767.96,28,10.46296,0.1014
2,Wenzhou,2020/1/22,4,9300000,767.96,28,10.46296,0.1014
3,Wenzhou,2020/1/23,6,9300000,767.96,28,10.46296,0.1014
4,Wenzhou,2020/1/24,10,9300000,767.96,28,10.46296,0.1014
5,Wenzhou,2020/1/25,18,9300000,767.96,28,10.46296,0.1014
6,Wenzhou,2020/1/26,32,9300000,767.96,28,10.46296,0.1014
7,Wenzhou,2020/1/27,60,9300000,767.96,28,10.46296,0.1014
8,Wenzhou,2020/1/28,114,9300000,767.96,28,10.46296,0.1014
9,Wenzhou,2020/1/29,172,9300000,767.96,28,10.46296,0.1014
10,Wenzhou,2020/1/30,227,9300000,767.96,28,10.46296,0.1014
11,Wenzhou,2020/1/31,241,9300000,767.96,28,10.46296,0.1014
12,Wenzhou,2020/2/1,265,9300000,767.96,28,10.46296,0.1014
13,Wenzhou,2020/2/2,291,9300000,767.96,28,10.46296,0.1014
14,Wenzhou,2020/2/3,340,9300000,767.96,28,10.46296,0.1014
15,Wenzhou,2020/2/4,364,9300000,767.96,28,10.46296,0.1014
16,Wenzhou,2020/2/5,396,9300000,767.96,28,10.46296,0.1014
17,Wenzhou,2020/2/6,421,9300000,767.96,28,10.46296,0.1014
18,Wenzhou,2020/2/7,438,9300000,767.96,28,10.46296,0.1014
19,Wenzhou,2020/2/8,448,9300000,767.96,28,10.46296,0.1014
20,Wenzhou,2020/2/9,464,9300000,767.96,28,10.46296,0.1014
21,Wenzhou,2020/2/10,474,9300000,767.96,28,10.46296,0.1014
22,Wenzhou,2020/2/11,481,9300000,767.96,28,10.46296,0.1014
23,Wenzhou,2020/2/12,490,9300000,767.96,28,10.46296,0.1014
24,Wenzhou,2020/2/13,496,9300000,767.96,28,10.46296,0.1014
25,Wenzhou,2020/2/14,499,9300000,767.96,28,10.46296,0.1014
26,Wenzhou,2020/2/15,502,9300000,767.96,28,10.46296,0.1014
27,Wenzhou,2020/2/16,503,9300000,767.96,28,10.46296,0.1014
